flow_rate,pressure,temperature,usage_duration,vibration,label
53.89,326.02,24.64,94,0.19,Normal
84.42,118.97,31.68,97,0.56,Leakage
32.66,322.02,20.77,84,0.2,Normal
71.75,109.17,28.0,83,0.64,Leakage
33.46,326.95,22.49,56,0.12,Normal
52.09,339.54,24.97,43,0.29,Normal
57.07,315.35,20.94,69,0.18,Normal
45.7,297.0,23.22,56,0.12,Normal
88.63,118.13,31.68,72,0.83,Leakage
48.67,319.63,25.4,61,0.23,Normal
110.51,209.97,29.08,53,0.84,Leakage
42.03,289.87,27.79,47,0.14,Normal
58.75,280.75,20.73,47,0.16,Normal
35.07,316.64,25.66,43,0.26,Normal
41.94,330.76,29.76,103,0.18,Normal
31.5,301.08,22.38,90,0.22,Normal
47.49,290.84,25.28,78,0.14,Normal
31.48,315.34,22.05,92,0.18,Normal
34.38,293.88,24.7,96,0.2,Normal
78.93,151.06,29.48,82,0.99,Leakage
57.41,329.02,29.17,53,0.18,Normal
70.54,128.44,34.98,66,0.73,Leakage
55.41,316.74,21.33,97,0.25,Normal
89.72,170.03,33.1,98,0.97,Leakage
34.31,318.81,23.11,88,0.23,Normal
45.26,316.44,20.32,41,0.21,Normal
47.48,308.08,21.54,49,0.23,Normal
30.16,308.89,24.68,82,0.11,Normal
37.88,280.54,27.13,76,0.12,Normal
53.76,301.64,27.16,103,0.16,Normal
118.16,215.86,29.96,105,0.91,Leakage
59.45,329.57,26.9,35,0.14,Normal
33.54,293.71,27.09,68,0.24,Normal
33.92,299.03,29.47,35,0.19,Normal
30.62,331.84,29.92,35,0.13,Normal
32.26,283.64,29.6,34,0.22,Normal
80.56,174.02,33.95,87,0.65,Leakage
33.39,282.83,23.84,103,0.19,Normal
79.64,105.7,31.84,103,0.85,Leakage
72.5,168.45,28.51,97,0.78,Leakage
78.65,101.83,30.2,105,0.66,Leakage
54.94,320.32,25.23,111,0.23,Normal
43.56,309.83,20.07,48,0.22,Normal
98.88,215.02,28.55,99,0.57,Leakage
31.62,290.68,27.74,31,0.28,Normal
35.26,291.29,21.76,78,0.19,Normal
54.61,346.37,27.49,54,0.19,Normal
59.3,305.0,22.83,76,0.11,Normal
87.73,193.52,28.34,50,0.8,Leakage
116.29,123.09,25.36,147,0.8,Leakage
109.87,172.89,32.54,52,0.5,Leakage
43.48,289.36,28.5,66,0.22,Normal
83.0,204.25,25.75,47,0.93,Leakage
52.99,302.09,20.74,85,0.24,Normal
30.56,283.54,25.11,107,0.24,Normal
89.13,125.84,31.43,121,0.81,Leakage
77.51,176.13,30.01,128,0.6,Leakage
56.66,318.32,29.25,35,0.11,Normal
43.21,281.28,27.63,55,0.18,Normal
40.49,345.3,27.19,87,0.22,Normal
48.71,329.57,24.27,88,0.23,Normal
53.06,314.25,22.8,85,0.12,Normal
72.01,198.99,29.13,98,0.63,Leakage
76.54,190.15,25.27,150,0.96,Leakage
32.36,328.11,26.32,64,0.12,Normal
110.3,160.58,34.2,53,0.94,Leakage
56.04,337.76,29.14,67,0.26,Normal
56.94,300.35,28.21,89,0.27,Normal
49.68,297.62,23.26,80,0.23,Normal
40.73,322.92,24.89,110,0.18,Normal
86.36,172.61,27.77,70,0.64,Leakage
36.12,290.28,26.63,58,0.3,Normal
47.45,321.25,27.54,120,0.23,Normal
31.82,318.99,21.45,94,0.28,Normal
83.19,109.44,28.64,141,0.53,Leakage
96.69,216.21,27.83,80,0.68,Leakage
36.32,291.71,25.06,111,0.18,Normal
74.12,116.3,30.94,76,0.59,Leakage
31.84,336.41,23.02,36,0.29,Normal
44.24,307.77,22.77,38,0.21,Normal
100.79,144.24,26.93,50,0.97,Leakage
31.71,294.4,20.51,73,0.16,Normal
80.78,187.14,29.62,113,0.78,Leakage
40.11,296.5,29.16,93,0.13,Normal
107.1,181.05,27.26,62,0.99,Leakage
86.95,140.83,27.01,74,0.71,Leakage
56.98,298.93,24.86,69,0.29,Normal
112.03,167.81,34.51,120,0.97,Leakage
39.69,344.81,22.67,65,0.15,Normal
80.42,151.65,34.01,68,0.76,Leakage
112.38,179.62,33.16,45,0.88,Leakage
42.1,313.28,25.29,43,0.16,Normal
42.15,312.52,20.73,80,0.23,Normal
46.38,297.1,23.16,64,0.16,Normal
39.38,330.63,28.08,100,0.2,Normal
36.04,283.01,28.86,92,0.12,Normal
39.65,317.71,28.11,117,0.13,Normal
55.16,324.32,21.68,44,0.3,Normal
36.74,286.97,24.62,71,0.27,Normal
78.36,122.38,28.64,108,0.57,Leakage
30.42,342.68,25.55,63,0.26,Normal
31.75,294.53,20.05,95,0.12,Normal
31.98,337.07,22.43,50,0.28,Normal
31.54,342.99,23.21,51,0.15,Normal
82.33,135.34,31.2,113,0.64,Leakage
48.0,300.94,21.43,97,0.18,Normal
58.56,325.89,27.65,115,0.28,Normal
119.88,201.89,31.53,149,0.68,Leakage
84.21,147.81,25.45,62,0.65,Leakage
52.92,281.72,26.41,63,0.24,Normal
43.76,286.34,21.55,46,0.14,Normal
57.0,346.91,22.27,36,0.23,Normal
44.96,327.55,29.18,116,0.25,Normal
95.74,136.78,30.52,86,0.83,Leakage
46.85,291.44,27.48,91,0.16,Normal
57.75,314.27,20.46,87,0.14,Normal
95.77,174.13,28.08,98,0.75,Leakage
47.41,321.44,28.5,30,0.26,Normal
91.53,111.83,31.98,105,0.96,Leakage
31.7,337.99,29.64,64,0.2,Normal
76.96,106.18,30.03,84,0.55,Leakage
111.84,132.63,30.29,121,0.61,Leakage
37.83,317.38,22.17,89,0.18,Normal
53.58,344.44,27.85,30,0.3,Normal
33.09,315.93,24.98,69,0.11,Normal
58.88,314.28,22.81,80,0.14,Normal
94.05,145.66,31.61,72,0.77,Leakage
46.63,315.61,21.04,116,0.23,Normal
43.3,286.19,27.52,97,0.19,Normal
57.75,299.73,27.57,70,0.22,Normal
48.4,331.37,20.99,62,0.12,Normal
47.43,326.21,21.49,112,0.14,Normal
113.69,146.07,29.17,76,0.99,Leakage
42.29,321.41,24.42,65,0.24,Normal
58.97,286.81,29.95,95,0.27,Normal
47.08,339.82,24.28,79,0.15,Normal
82.63,171.2,28.71,137,0.82,Leakage
48.59,348.33,29.63,61,0.23,Normal
84.0,105.23,28.3,138,0.97,Leakage
58.77,341.01,23.46,31,0.24,Normal
37.73,335.57,26.44,108,0.27,Normal
90.14,211.38,29.25,46,0.85,Leakage
35.88,336.69,26.22,72,0.27,Normal
56.5,327.13,21.36,70,0.13,Normal
92.4,101.1,27.04,106,0.84,Leakage
36.23,291.23,25.05,30,0.21,Normal
34.79,318.3,24.26,83,0.11,Normal
52.76,292.65,23.23,110,0.16,Normal
40.51,297.25,25.56,49,0.26,Normal
41.56,299.73,29.32,82,0.22,Normal
52.42,338.14,28.56,77,0.13,Normal
52.92,312.3,25.23,36,0.11,Normal
59.27,281.08,25.6,31,0.2,Normal
114.25,113.19,30.27,87,0.8,Leakage
75.08,143.01,30.79,134,0.81,Leakage
48.46,314.35,27.31,99,0.26,Normal
33.26,317.54,29.75,58,0.2,Normal
37.43,296.81,22.12,91,0.11,Normal
56.56,321.04,25.13,31,0.22,Normal
47.3,286.73,22.18,100,0.2,Normal
52.38,326.81,20.53,32,0.19,Normal
53.94,301.87,20.37,47,0.29,Normal
34.95,295.24,21.27,61,0.24,Normal
46.72,338.37,26.16,94,0.16,Normal
30.02,329.41,22.72,50,0.24,Normal
32.69,308.26,27.45,90,0.24,Normal
90.5,134.64,33.36,134,0.97,Leakage
43.77,292.02,21.43,120,0.12,Normal
59.29,338.96,24.51,36,0.15,Normal
49.99,333.3,29.0,84,0.13,Normal
97.6,189.94,34.67,63,0.69,Leakage
45.28,345.86,24.67,40,0.14,Normal
74.89,182.76,28.93,89,0.74,Leakage
44.98,346.25,26.26,67,0.18,Normal
34.42,316.65,27.13,73,0.14,Normal
37.87,333.69,29.05,71,0.14,Normal
109.92,150.28,30.93,44,0.68,Leakage
42.18,309.47,23.52,60,0.27,Normal
99.55,200.09,28.1,118,1.0,Leakage
99.36,124.12,28.19,106,0.67,Leakage
51.34,299.05,24.98,54,0.17,Normal
37.71,294.6,27.19,111,0.21,Normal
85.96,212.75,32.85,104,0.56,Leakage
55.38,325.1,24.84,102,0.12,Normal
30.9,329.8,25.12,96,0.26,Normal
90.36,108.34,25.54,106,0.96,Leakage
40.6,329.68,20.43,49,0.15,Normal
59.71,332.67,29.66,50,0.27,Normal
81.92,139.61,32.36,56,0.66,Leakage
37.24,349.39,28.37,73,0.27,Normal
98.98,214.7,32.75,115,0.66,Leakage
100.58,142.28,25.81,51,0.96,Leakage
95.57,156.78,29.62,91,0.52,Leakage
45.53,345.47,26.77,82,0.24,Normal
57.27,294.56,22.7,71,0.23,Normal
52.52,344.17,29.11,64,0.12,Normal
53.31,325.52,23.71,39,0.29,Normal
111.29,205.96,29.77,41,0.85,Leakage
99.84,111.27,33.34,117,0.67,Leakage
53.25,333.96,24.55,76,0.3,Normal
30.44,310.66,28.51,115,0.1,Normal
55.88,306.77,20.86,67,0.12,Normal
91.21,120.87,33.74,90,0.87,Leakage
47.83,308.4,27.15,109,0.23,Normal
93.72,213.06,34.05,73,0.72,Leakage
37.2,334.19,20.09,73,0.19,Normal
38.04,299.94,26.47,57,0.25,Normal
47.97,308.07,25.22,77,0.17,Normal
72.83,166.91,30.64,134,0.65,Leakage
32.78,317.32,20.81,51,0.12,Normal
33.26,319.19,29.72,37,0.26,Normal
36.93,293.73,25.04,60,0.29,Normal
30.31,345.64,22.51,35,0.29,Normal
38.27,301.71,21.77,80,0.14,Normal
47.16,324.86,21.35,107,0.22,Normal
44.1,312.47,29.63,80,0.28,Normal
109.28,190.06,28.75,112,0.85,Leakage
74.28,202.86,33.22,97,0.54,Leakage
39.01,302.95,29.1,106,0.29,Normal
